ABC Data
SA	IA	FZ	FY	TSTC	FX	SR	P
s	deg	N	N	N	C	-	KPa
-12	0	-250	823.827388033003	55	0	0	82.7
-11.9	0	-250	830.489232687123	55	0	0	82.7
-11.8	0	-250	836.952914508833	55	0	0	82.7
-11.7	0	-250	843.216502977753	55	0	0	82.7
-11.6	0	-250	849.278113772723	55	0	0	82.7
-11.5	0	-250	855.135909488977	55	0	0	82.7
-11.4	0	-250	860.788100343729	55	0	0	82.7
-11.3	0	-250	866.232944869859	55	0	0	82.7
-11.2	0	-250	871.468750597394	55	0	0	82.7
-11.1	0	-250	876.49387472247	55	0	0	82.7
-11	0	-250	881.306724763485	55	0	0	82.7
-10.9	0	-250	885.90575920413	55	0	0	82.7
-10.8	0	-250	890.289488123011	55	0	0	82.7
-10.7	0	-250	894.456473809568	55	0	0	82.7
-10.6	0	-250	898.405331366007	55	0	0	82.7
-10.5	0	-250	902.134729294949	55	0	0	82.7
-10.4	0	-250	905.643390072532	55	0	0	82.7
-10.3	0	-250	908.930090706682	55	0	0	82.7
-10.2	0	-250	911.993663280276	55	0	0	82.7
-10.1	0	-250	914.832995478948	55	0	0	82.7
-10	0	-250	917.44703110326	55	0	0	82.7
-9.9	0	-250	919.83477056499	55	0	0	82.7
-9.8	0	-250	921.995271367279	55	0	0	82.7
-9.7	0	-250	923.9276485684	55	0	0	82.7
-9.6	0	-250	925.6310752289	55	0	0	82.7
-9.5	0	-250	927.104782841882	55	0	0	82.7
-9.4	0	-250	928.348061746196	55	0	0	82.7
-9.3	0	-250	929.360261522319	55	0	0	82.7
-9.2	0	-250	930.140791370697	55	0	0	82.7
-9.1	0	-250	930.689120472347	55	0	0	82.7
-9	0	-250	931.004778331505	55	0	0	82.7
-8.9	0	-250	931.087355100127	55	0	0	82.7
-8.8	0	-250	930.936501884034	55	0	0	82.7
-8.7	0	-250	930.551931030538	55	0	0	82.7
-8.6	0	-250	929.933416397348	55	0	0	82.7
-8.5	0	-250	929.080793602593	55	0	0	82.7
-8.4	0	-250	927.993960255785	55	0	0	82.7
-8.3	0	-250	926.672876169579	55	0	0	82.7
-8.2	0	-250	925.117563552154	55	0	0	82.7
-8.1	0	-250	923.328107180096	55	0	0	82.7
-8	0	-250	921.304654551614	55	0	0	82.7
-7.9	0	-250	919.047416019987	55	0	0	82.7
-7.8	0	-250	916.556664907098	55	0	0	82.7
-7.7	0	-250	913.832737596947	55	0	0	82.7
-7.6	0	-250	910.876033609033	55	0	0	82.7
-7.5	0	-250	907.687015651502	55	0	0	82.7
-7.4	0	-250	904.266209653973	55	0	0	82.7
-7.3	0	-250	900.614204779951	55	0	0	82.7
-7.2	0	-250	896.731653418751	55	0	0	82.7
-7.1	0	-250	892.619271156865	55	0	0	82.7
-7	0	-250	888.27783672871	55	0	0	82.7
-6.9	0	-250	883.708191946702	55	0	0	82.7
-6.8	0	-250	878.911241610616	55	0	0	82.7
-6.7	0	-250	873.887953396186	55	0	0	82.7
-6.6	0	-250	868.639357722925	55	0	0	82.7
-6.5	0	-250	863.166547601141	55	0	0	82.7
-6.4	0	-250	857.470678458139	55	0	0	82.7
-6.3	0	-250	851.5529679436	55	0	0	82.7
-6.2	0	-250	845.414695714146	55	0	0	82.7
-6.1	0	-250	839.057203197114	55	0	0	82.7
-6	0	-250	832.481893333532	55	0	0	82.7
-5.9	0	-250	825.690230300369	55	0	0	82.7
-5.8	0	-250	818.683739212055	55	0	0	82.7
-5.7	0	-250	811.464005801352	55	0	0	82.7
-5.6	0	-250	804.032676079614	55	0	0	82.7
-5.5	0	-250	796.391455976503	55	0	0	82.7
-5.4	0	-250	788.542110959243	55	0	0	82.7
-5.3	0	-250	780.48646563148	55	0	0	82.7
-5.2	0	-250	772.226403311848	55	0	0	82.7
-5.1	0	-250	763.763865592338	55	0	0	82.7
-5	0	-250	755.100851876577	55	0	0	82.7
-4.9	0	-250	746.239418898126	55	0	0	82.7
-4.8	0	-250	737.181680218934	55	0	0	82.7
-4.7	0	-250	727.929805708071	55	0	0	82.7
-4.6	0	-250	718.486021000883	55	0	0	82.7
-4.5	0	-250	708.852606938719	55	0	0	82.7
-4.4	0	-250	699.031898989394	55	0	0	82.7
-4.3	0	-250	689.026286648532	55	0	0	82.7
-4.2	0	-250	678.838212822003	55	0	0	82.7
-4.1	0	-250	668.470173189587	55	0	0	82.7
-4	0	-250	657.924715550101	55	0	0	82.7
-3.9	0	-250	647.204439148158	55	0	0	82.7
-3.8	0	-250	636.311993982772	55	0	0	82.7
-3.7	0	-250	625.250080098033	55	0	0	82.7
-3.6	0	-250	614.021446856056	55	0	0	82.7
