ABC Data
SL	IA	FZ	FX	SA	TSTC	FY	P
s	deg	N	N	N	C	-	KPa
-0.25	0	-250	-971.074168704582	0	55	0	55.2
-0.245	0	-250	-969.680619221416	0	55	0	55.2
-0.24	0	-250	-968.154532884314	0	55	0	55.2
-0.235	0	-250	-966.480614044503	0	55	0	55.2
-0.23	0	-250	-964.641559257759	0	55	0	55.2
-0.225	0	-250	-962.617775319292	0	55	0	55.2
-0.22	0	-250	-960.387058604993	0	55	0	55.2
-0.215	0	-250	-957.924231696067	0	55	0	55.2
-0.21	0	-250	-955.200733510972	0	55	0	55.2
-0.205	0	-250	-952.184159804838	0	55	0	55.2
-0.2	0	-250	-948.837752108107	0	55	0	55.2
-0.195	0	-250	-945.11983521414	0	55	0	55.2
-0.19	0	-250	-940.983206522076	0	55	0	55.2
-0.185	0	-250	-936.374485323307	0	55	0	55.2
-0.18	0	-250	-931.233437018791	0	55	0	55.2
-0.175	0	-250	-925.492296900563	0	55	0	55.2
-0.17	0	-250	-919.075131223348	0	55	0	55.2
-0.165	0	-250	-911.89729052133	0	55	0	55.2
-0.16	0	-250	-903.865032019337	0	55	0	55.2
-0.155	0	-250	-894.875414650343	0	55	0	55.2
-0.15	0	-250	-884.816600884595	0	55	0	55.2
-0.145	0	-250	-873.568732127793	0	55	0	55.2
-0.14	0	-250	-861.005574486686	0	55	0	55.2
-0.135	0	-250	-846.997151834316	0	55	0	55.2
-0.13	0	-250	-831.413582273686	0	55	0	55.2
-0.125	0	-250	-814.130297616699	0	55	0	55.2
-0.12	0	-250	-795.034736522095	0	55	0	55.2
-0.115	0	-250	-774.034445210465	0	55	0	55.2
-0.11	0	-250	-751.066288137966	0	55	0	55.2
-0.105	0	-250	-726.106174907901	0	55	0	55.2
-0.1	0	-250	-699.178385828829	0	55	0	55.2
-0.095	0	-250	-670.363294859369	0	55	0	55.2
-0.09	0	-250	-639.802137957239	0	55	0	55.2
-0.085	0	-250	-607.69755232133	0	55	0	55.2
-0.08	0	-250	-574.308978889375	0	55	0	55.2
-0.075	0	-250	-539.942664979058	0	55	0	55.2
-0.07	0	-250	-504.936820473037	0	55	0	55.2
-0.065	0	-250	-469.643285625956	0	55	0	55.2
-0.06	0	-250	-434.40765488702	0	55	0	55.2
-0.055	0	-250	-399.550014663494	0	55	0	55.2
-0.05	0	-250	-365.348249976888	0	55	0	55.2
-0.045	0	-250	-332.025335164846	0	55	0	55.2
-0.04	0	-250	-299.741312337323	0	55	0	55.2
-0.035	0	-250	-268.58996267308	0	55	0	55.2
